Time,Publication,Sent
2022-05-17 18:22:48.174452+10:00,ABC,20
2022-05-17 18:23:10.582422+10:00,SBS,12
2022-05-17 18:23:25.746910+10:00,News,0
2022-05-17 18:23:27.482397+10:00,SMH,10
2022-05-18 06:18:22.639583+10:00,ABC,20
2022-05-18 06:18:45.738324+10:00,SBS,12
2022-05-18 06:19:03.028784+10:00,News,0
2022-05-18 06:19:04.635618+10:00,SMH,8
2022-05-18 18:21:17.337720+10:00,ABC,20
2022-05-18 18:21:50.630732+10:00,News,0
2022-05-18 18:21:52.372736+10:00,SMH,9
2022-05-19 06:18:31.494677+10:00,ABC,20
2022-05-19 06:18:51.467716+10:00,SBS,12
2022-05-19 06:19:07.791989+10:00,News,0
2022-05-19 06:19:09.614777+10:00,SMH,10
2022-05-19 18:22:44.149903+10:00,ABC,20
2022-05-19 18:23:02.791833+10:00,SBS,12
2022-05-19 18:23:19.261288+10:00,News,0
2022-05-19 18:23:21.069302+10:00,SMH,8
2022-05-20 06:18:43.061013+10:00,SBS,12
2022-05-20 06:19:03.727552+10:00,News,0
2022-05-20 06:19:05.534986+10:00,SMH,8
2022-05-20 18:22:18.280511+10:00,News,0
2022-05-20 18:22:20.067557+10:00,SMH,8
2022-05-21 06:18:33.128934+10:00,ABC,20
2022-05-21 06:18:58.738437+10:00,News,0
2022-05-21 06:19:00.603377+10:00,SMH,10
2022-05-21 18:21:12.835321+10:00,ABC,20
2022-05-21 18:21:46.295937+10:00,News,0
2022-05-21 18:21:48.163697+10:00,SMH,5
2022-05-22 06:18:04.725663+10:00,ABC,20
2022-05-22 06:18:23.600107+10:00,SBS,12
2022-05-22 06:18:40.030901+10:00,News,0
2022-05-22 06:18:41.770828+10:00,SMH,10
2022-05-22 18:20:21.734750+10:00,ABC,20
2022-05-22 18:20:47.426523+10:00,News,0
2022-05-22 18:20:49.202151+10:00,SMH,8
2022-05-23 06:17:49.660203+10:00,ABC,20
2022-05-23 06:18:16.775272+10:00,News,0
